ID,Clasificación,Oración
6009,Simple,El enzima se localiza en la célula periféricamente en la membrana plasmática.
6010,Compuesta-Compleja,"Algunos delegados del Segundo Congreso Continental redactaron una oferta de paz conocida como la Petición del Ramo de Olivo, pero los enfrentamientos ya habían surgido cuando el documento llegó a Inglaterra."
6011,Simple,"Fue discípulo aventajado del gran parodista Salvador María Granés, tan ingenioso como él, o casi, pero más fecundo."
6012,Compuesta-Compleja,"En su regreso de la Tercera Cruzada, las redactó al componer su más extenso ""Chronica"", revisándolo y agregando material suplementario."
6013,Compuesta-Compleja,"Ese mismo año oposicona y gana un puesto de Asistente Forestal en ACT, operando bajo Charles Lane Poole."
6014,Compleja,"Esto es compatible con los estudios neurológicos antes comentados, ya que se han observado déficits de este tipo en sujetos que han sufrido una lesión cerebral en el giro angular."
6015,Compuesta,La masacre mecanizada de las dos guerras mundiales y las nuevas armas atómicas ejemplificaron y simbolizaron la expresión de la ontología de la estructura racional / mental.
6016,Simple,Cualquier de estas designaciones se pueden ver en los manuales de los aeronaves o en los horarios de las líneas aéreas.
6017,Compuesta-Compleja,Jamás dejaré de tenerte como mi referente y jamás se secarán las lágrimas que me provocaron tus gestos conmigo.
6018,Simple,"Schlesinger creció en Manhattan and Montclair, New Jersey."
6019,Compleja,El ambiente es bueno y el local está ambientado con música india y tapices que transportan a la India.
6020,Compuesta-Compleja,"Actualmente se realizan actividades, como seminario interno de la iglesia, en los barrios con los niños, a quienes se les brinda una clase bíblica, se les sirve la merienda y festejan los cumpleaños."
6021,Compuesta-Compleja,"Porque es justamente él quien va a expresar con profunda lucidez lo inútil de esa eterna búsqueda de poder, la sensación de amargura e infelicidad que produce una vez alcanzado, la queja del hombre que, aparentemente amo, no es sino instrumento de fuerzas impersonales, y que sufre en carne propia el rechazo que el poder suscita entre los sometidos."
6022,Simple,La Asamblea General de las Naciones Unidas celebra el 29 de septiembre el Día Mundial del Corazón.
6023,Compleja,No se ejercerá la opción del ariete del City quien tiene como destino Italia o Alemania.
6024,Compleja,"Lo que sí ha cambiado en los aeropuertos españoles son las medidas para los pasajeros que viajen a Estados Unidos, con un mayor control."
6025,Compleja,"Miembro de la Academia de Buenas Letras (1924), a la que presidió entre 1961 y 1963, del Institut d'Estudis Catalans (1942), del que fue presidente en 1957, y de la Academia de Bellas Artes de Sant Jordi (1968), fue el organizador del Museo Comarcal de Cervera."
6026,Compuesta-Compleja,"Terry ve un ataud con una extraña marca, Terry se acerca mientras que Leah le dice que es la marca del Hombre Lobo, pero este la ignora y se sigue acercando y logra abrir la puerta de ese ataud."
6027,Simple,"Esta y otras cartas personales y publicaciones están preservadas en los Archivos Gebser de las colecciones de historia de la ciencia de la Universidad de Oklahoma (Norman, Oklahoma, Bizzell Library)."
6028,Simple,"El Redwood Road (RE 68), una carretera de seis carriles, corre través del parte oriental de la ciudad."
6029,Compleja,"En los años veinte, colaboró con el general Abelardo L. Rodríguez para arrojar de Baja California al coronel Esteban Cantú."
6030,Simple,"En su quinta semana, el sencillo alcanzó # 10."
6031,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Según la tradición judía, parte historia y parte leyenda, son llamados hijos de Balaam, profeta de Peor."
6032,Compleja,"Su libro Dieta para un pequeño planeta es fundamental para la corriente del vegetarianismo moderno, por la información que contiene sobre la producción de carne y su impacto en el hambre."
6033,Compleja,"Enclavado en el corazón de la medina, este riad posee una piscina de ensueño y un agradable oasis de sol."
6034,Compleja,"Herrero dijo que no está en contra, siempre que se complemente con acciones que sirvan para ""meter en vereda a las entidades privadas""."
6035,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Está conformado por siete corregimientos:
6036,Compuesta-Compleja,"Se trata de una obra conceptualmente excepcional y singular, que ha sido recientemente restaurada y ha formado parte de la exposición ``Las Edades del Hombre''."
6037,Compleja,"Después se toma un vuelo rumbo a Lhasa, capital de Tíbet, donde se alcanza ya una altura de 3.650 metros."
6038,Compleja,"Luego llega el Premier de Madrid donde tiene la primera ronda libre, pero en segunda ronda cae derrotada frente a su compatriota Jelena Jankovic por 6-4, 4-6, 1-6."
6039,Compleja,"El antecedente histórico de la revista data de 1888 año en que fue publicado por la Anthropological Society of Washington (Sociedad Antropológica de Washington), la primera asociación antropológica de los Estados Unidos de América."
6040,Simple,Es una de las cuevas más importantes de Andalucía.
6041,Compleja,"Mientras su hijo Kakarotto viajaba a La Tierra, se oye la voz de Bardock diciendo «Kakarotto, debes cumplir mi objetivo, tú seras quien vengara la muerte de los Saiyajins y la desaparicion del planeta Vegeta»."
6042,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Vermont se encuentra ubicada en las coordenadas.
6043,Compuesta,La última rama de la vena radial se divide en dos y nace ligeramente antes del ángulo superior de la celda.
6044,Simple,"Su hija fue la famosa poeta y autora Sei Shōnagon, famosa hoy día por su diario Makura no Sōshi."
6045,Compleja,El municipio de Eckles se encuentra ubicado en las coordenadas.
6046,Simple,El 1 corresponde a un tumor bien diferenciado y por lo tanto poco agresivo y el 5 a un tumor escasamente diferenciado.
6047,Compuesta-Compleja,"En Bariloche, cerraron el aeropuerto, también se interrumpió en Neuquén el paso Cardenal Samoré que comunica con Chile y Vialidad Nacional recomendó no circular con vehículos por la zona."
6048,Compleja,"Dada la buena impresión que causó sus actuaciones con Andy Harlow, el hermano de éste, Larry, decidió reclutarlo para su orquesta."
6049,Simple,"""Este piloto tiene un buen ojo""."
6050,Compuesta-Compleja,"Pese a ello, el equipo de Vicente Moreno se fue de vacío y se complica la vida, ya que Gerard, ya en el tiempo de prolongación finiquitó el encuentro con un tanto a la contra."
6051,Compleja,"Realizó, alrededor de 2004, un estudio comparativo de las Islas del Golfo de California, que más tarde serían declaradas por la Unesco como Patrimonio Mundial de la Humanidad."
6052,Compleja,"Es el arte que practica el protagonista de la obra, Kenshin Himura."
6053,Compleja,"Estudió en el Colegio de San Bartolomé con el respaldo de un sacerdote amigo de la familia, graduándose de bachiller y de abogado (1836);"
6054,Compuesta-Compleja,He vuelto para hacer un seguimiento y ademas me han recomendado una dieta para lucky y otros consejos practicos.
6055,Compleja,"Gente muy amable y dispuesta en vender sus productos, cualquier duda te la resuelven al igual que te explican las propiedades de sus cavas y diferencias entre ellos."
6056,Compleja,"Detrás de este acuerdo, quedó sellado el compromiso del oficialismo para darle un lugar a la consejera de la Coalición en la Magistratura."
6057,Compuesta-Compleja,"En el episodio con los Trolls, Tom, Berto y Guille Estrujónez, ofreció tanta resistencia a su captura que los Troll lo amarraron fuertemente y lo pusieron junto al fuego."
6058,Compleja,"Y espero que, si estas leyendo esto, tú tampoco lo hagas."
6059,Simple,El 442 nació de la competencia entre Pontiac y Oldsmobile.
6060,Unimembre,Frecuente en las gleras de las altitudes superiores.
6061,Compleja,"El profesor sólo tiene su palabra como herramienta de trabajo, si se la quitamos, es un trabajador sin herramientas, no podrá hacer ningún trabajo útil con los alumnos."
6062,Compleja,Las corrientes de aire globales unen la atmósfera mantieniendo casi el mismo equilibrio de los elementos en áreas de intensa actividad biológica y las áreas de la actividad biológica ligera.
6063,Simple,"Se recibe tanto la aristocracia del Faubourg Saint - Germain (la Rochefoucauld, Luynes, de Uzès, Haussonville, Chevigné Greffulhe) los jóvenes artistas y celebridades de la época o la política."
6064,Compleja,Está mayoritariamente habitada por familias de clase media alta.
6065,Simple,Se encuentra en la India.
6066,Compleja,Es posible que se terminara de hacer en tiempos del arzobispo Pedro de Luna cuyas armas y blasones policromados de Castilla y León figuran en esta obra.
6067,Compleja,"En el penal de Las Palmas edita, junto a más internos, la revista Surcos, donde publica poemas, cuentos y reflexiones."
6068,Compleja,La vanguardia compuesta por 6.000 veteranos iba mandada por el coronel Cristóbal Villalba.
6069,Compuesta-Compleja,"Doce mujeres es una película de Argentina en blanco y negro dirigida por Luis José Moglia Barth según guion de Lola Pita Martínez que se estrenó el 8 de marzo de 1939 y que tuvo como protagonistas a Olinda Bozán, Paquito Busto y Delia Garcés."
6070,Compuesta-Compleja,"Sin embargo, desechar un sistema informático y reemplazarlo con hardware y software moderno conduce a riesgos de negocio significativos."
6071,Compuesta-Compleja,Tiene como objeto reconocer y premiar la literatura dramática de autores noveles.
6072,Compleja,Gracias a ti de nuevo por compartir con nosotros toda esa fuerza que transmites.
6073,Simple,"La renta per cápita para la localidad era de $ 20,763."
6074,Simple,Existen 363 km² de huertas y 216 km² de viñedos.
6075,Compuesta-Compleja,"En contraste, los tanques alemanes, británicos y estadounidenses (no todos) de la época tenían una torreta de tres personas con comandante, artillero y cargador, que permitía que el comandante se centrase en dirigir y coordinar sus acciones con el resto de la unidad, sin tener que ocuparse de apuntar o recargar el cañón."
6076,Compleja,"De esta manera, el aceite de nuez se substituyó por la crema de leche -- nata, aunque se han seguido añadiendo trozos de nuez;"
6077,Compleja,"Después de ser sentenciada, y por temor al castigo, Fenicia le dice a Asaf que ella solo estaba siguiendo órdenes de su ama, Noemí."
6078,Simple,"El rey Jorge murió el 11 de junio de 1727 en Osnabrück, Alemania, de una diarrea severa."
6079,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El otro equipo Peugeot Total Sport sólo pudo ser 8 º tras unos problemas en una de las suspensiones delanteras.
6080,Simple,"Jvalynsk es una ciudad del óblast de Sarátov, en Rusia, centro administrativo del raión homónimo."
6081,Simple,"Con la colonización griega y la expansión brucia, los ítalos se trasladaron más al interior."
6082,Simple,"Como tal, el rinencéfalo incluye el bulbo olfatorio, el tracto olfatorio, el tubérculo olfatorio y lasestrías, el núcleo olfatorio anterior y partes de la amígdala y de la corteza piriforme."
6083,Simple,En el contexto de su actividad como kapellmeister presentó estherpaula por primera vez obras de Beethoven en los escenarios de concierto de una orquesta sueca.
6084,Compuesta-Compleja,"Por otra parte, pasear por los grandes jardines interiores y disfrutar de las dos piscinas exteriores ubicadas en la novena planta, con unas impresionantes vistas de Madrid, también favorecen la relajación y gozar de momentos lúdicos."
6085,Simple,Elfrances René Vietto tiene el récord de vitorias con tres.
6086,Compuesta-Compleja,A su consideración presentó un plan de estudios que fue aprobado y puesto en práctica por los respectivos gobiernos de los países representantes.
6087,Compleja,"Las razones son varias: la reputación alcanzada por el artista en los años anteriores, el prestigio y amistad con un grupo de mecenas locales que le proporcionaron con regularidad encargos importantes y también, desde 1600, la participación en el taller de su hijo Jorge Manuel, que consiguió encargos en los pueblos cercanos a Toledo."
6088,Compleja,"El Aachtopf es el naciente natural más grande de Alemania, produciendo una cantidad aproximada de 8,500 litros por segundo, es de donde se obtiene la mayor parte del agua mineral en el país."
6089,Compleja,"La escena narra uno de los episodios más conocidos de la historia del santo, cuando sirviendo en la guardia imperial romana partió su capa con un pobre al que encontró a las puertas de Amiens."
6090,Simple,En África hay numerosas lenguas tonales.
6091,Simple,"IAX2 es robusto, lleno de novedades y muy simple en comparación con otros protocolos."
6092,Compleja,"La suplencia y sustitución no permiten ejercer las atribuciones del Presidente o Presidenta relativas al planteamiento de una cuestión de confianza, la designación y el cese de los Consejeros y la disolución anticipada del Parlamento."
6093,Compuesta-Compleja,"En dichas galas han participado bailarines de la talla de Lucía Lacarra, Tamara Rojo, Alicia Amatrian o Iván Gil - Ortega, pero también ha dado la oportunidad de volver a bailar en su país a jóvenes o a bailarines menos mediáticos."
6094,Compleja,Morazán es el segundo municipio más grande que tiene el departamento de El Progreso por debajo únicamente por el municipio de San Agustín Acasaguastlán.
6095,Compleja,"Sin embargo esta posibilidad se canceló al comprar la Armada de Chile 8 helicópteros Eurocopter Cougar, equipados con misiles antibuque AM.39 Exocet."
6096,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Actualmente se conservan dos copias de privilegio en la Biblioteca de la Academia de Historia, otra copia se conservaba en el Archivo de Roa, perdida con total seguridad a causa de los numerosos incendios del siglo XIX."
6097,Compleja,No tengo nada que decir en contra de la comida pero si de la limpieza del restaurante y del servicio de los camareros.
6098,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Marruecos es un verdadero paraíso para los amantes de las compras y el regateo, el regateo es parte esencial en el placer de las compras."
6099,Compleja,"Quienes se reglaban por fueros locales, no lo hicieron por los Fueros de Aragón generales en lo que duró la Edad Media."
6100,Compleja,El municipio de Elk Grove se encuentra ubicado en las coordenadas.
6101,Simple,Habita en Guam.
6102,Simple,Su aspecto es el resultante de una mezcla de distintas fases constructivas.
6103,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Más recientemente, la variable ""estorbo"" ha sido utilizada en el mismo contexto."
6104,Simple,El 16 de septiembre de 1998 se inauguraron los andenes de las líneas 3 y 5.
6105,Simple,"Clairemont limita en el norte con la Ruta Estatal 52, Interestatal 805 en el oeste, Interestatal 5 en el oeste, y en el sur con el barrio Linda Vista."
6106,Compleja,Diego Milito sigue estando en la órbita del FC Barcelona y no sería nada raro de que fichase a final de temporada.
6107,Simple,Muchos de los estudiantes y contemporáneos de Ibn al - Qayyim dan fe de su humildad religiosa e intelectual.
6108,Simple,"En el año 2000 el modelo Daily recibió el premio ""International Van of the Year""."
6109,Compuesta-Compleja,"La sonda emite una leve corriente eléctrica que estimula los nervios cercanos, resultando en la contracción de los músculos pélvicos, y eyaculando."
6110,Compleja,"La Reforma era el nombre que recibía una estación de ferrocarril ubicada en el paraje rural del mismo nombre, partido de Roque Pérez, provincia de Buenos Aires, Argentina."
6111,Compleja,"Alcanza uno 30 a 40 cm de largo en su adultez, mientras que los juveniles miden menos de 2 cm."
6112,Compleja,"En 2001 Nora recibió su primera oportunidad de protagonizar una telenovela por primera vez con María Belén, donde se encargó de interpretar el personaje de Ana, una psicóloga que descubre el amor maternal al conocer a María Belén."
6113,Compleja,"Para contrarrestar la flexibilidad de las legiones romanas, Pirro mezcló la infantería ligera itálica con sus falanges."
6114,Compuesta-Compleja,Les llamamos por teléfono para contarles los problemas de movilidad de un familiar mayor que vive solo y nos dieron ideas para mejorar cada una de las habitaciones de la casa.
6115,Simple,El KS Bylis Ballsh es un club de fútbol de Albania de la ciudad de Ballsh.
6116,Compleja,"En 1909, Henry Walters abrió al público como museo un complejo de edificios en el barrio de Mount Vernon Place, reformados al estilo de un palazzo italiano;"
6117,Compleja,"En 1940 actuó junto a Ed Wynn en la obra Boys and Girls Together, representada en Broadway, recibiendo críticas positivas."
6118,Compleja,Esta letra se utiliza actualmente en ucraniano y rusino en los que representa el sonido vocálico iotizado y el palatado.
6119,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Pero los ecosistemas tienen además una estructura física en la medida en que no son nunca totalmente homogéneos, sino que presentan partes, donde las condiciones son distintas y más o menos uniformes, o gradientes en alguna dirección."
6120,Compleja,"Es una planta herbácea que alcanza un tamaño de 20-80 cm de altura, cespitosa, cubierta con pelos de 0,1-0,3 mm."
6121,Compleja,"Los compartimentos ambientales en los que puede dispersarse una sustancia son hidrosfera, suelo, atmósfera y biota (plantas y animales)."
6122,Compleja,La estrategia de Allen W. Dulles era la de colocar espias tanto dentro del régimen en poder como dentro de la oposición.
6123,Compleja,"Nacido en Sicilia, está considerado como uno de los introductores de las técnicas pictóricas con óleo en Italia."
6124,Compleja,Coral Springs es una ciudad ubicada en el condado de Broward en el estado estadounidense de Florida.
6125,Compleja,"Por otro lado, el concejal del PP Diego Comins ha criticado que el Ayuntamiento no haya sido capaz de ejecutar toda la partida presupuestaria del programa '33700 Juventud ', algo que fue justificado por la edil de Empleo, Begoña Fernández, al haberse reducido en un total de 40.000 euros las partidas recibidas por el Principado y el Estado con destino, por ejemplo al desarrollo de los Encuentros Internacionales de Cabueñes."
6126,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Las circunstancias de este evento no son claras, Y el paradero de Etelric después de esto es desconocido;"
6127,Compleja,"En poco tiempo, la población de origen serbio en Kosovo se redujo a menos de un cuarto de la que había antes de la guerra."
6128,Simple,"En el año 2007, el condado tenía una población de 47.520 habitantes y una densidad poblacional de 21 personas por km²."
6129,Compleja,"Están datadas a partir del segundo milenio antes de Cristo, aunque seguían en uso durante el siglo I."
6130,Compleja,"Hay un tipo de tumba, las de bóveda y de balsa, que inicialmente se identificaron como dos torres de la muralla númida y que son en realidad dos tumbas de bóveda rectangulares, de tumbas de balsa sólo se ha encontrado una, de forma circular con unas losas laterales en el centro y cubiertas por una losa monolítica encima, el monumento es enigmático y se le considera una tumba por el contexto en el que se encontró, junto a otras tumbas."
6131,Compleja,"Su obra más conocida probablemente sea Los Planetas (The Planets), terminada en 1916, obra que Gustavus no consideraba una de sus mejores creaciones;"
6132,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Los términos del acuerdo fueron recogidos en el tratado de Plessis les Tours de 1580.
6133,Simple,"Su padre luchó al lado de Luis Moya, primer Jefe Maderista en Zacatecas."
6134,Compuesta,Weed tomó las primeras fotografías de la región y en septiembre las presentó al público en una exhibición en San Francisco.
6135,Simple,Al palacio se une una capilla mediante un pasadizo en plata primera.
6136,Compleja,Una de sus principales peculiaridades es su estructura columnar y su fuerte y profundo agrietamiento en estado seco al tratarse de materiales ricos en arcillas expansivas.
6137,Compleja,"Durante su estancia en México, fue entrenada por diversos luchadores, incluyendo Kevin Quinn, Miguel Pérez y Ricky Santana."
6138,Compleja,"A escasos metros del asfalto que conforma la Ruta Mariscal José Félix Estigarribia, se yerguen pesados portones que enmarcan al Museo, rodeado de amplios y antiguos corredores y un verde y poblado jardín."
6139,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Códigos como el Code de commerce, el Código de Comercio español, el Código Comercial portugués, van a ser tomados en cuenta por el proceso de codificación comercial chileno."
6140,Simple,Stenotarsus nigrocyaneus es una especie de coleóptero de la familia Endomychidae.
6141,Compleja,"Durante la segunda mitad de la temporada, Müller siguió en el once inicial usualmente jugando un papel de delantero centro debido a la disponibilidad de los jugadores laterales Franck Ribéry y Arjen Robben."
6142,Compleja,"Al término del acto, el mandatario estatal hizo un recorrido por las instalaciones del Hospital General, el cual atiende a una población de nueve mil 441 habitantes, de la región de la Cañada, cifra que se incrementa a 13 mil 410 personas en toda su área de influencia."
6143,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"La sucursal se rige por su propia hora, da igual la hora oficial de España."
6144,Compleja,La música de fondo que suena en la cinta de video de Flanders es I 'm Too Sexy de Right Said Fred.
6145,Unimembre,Un sitio muy cutre.
6146,Compleja,"Huyó a Suiza en 1939, escapando apenas horas antes de que la frontera fuese cerrada."
6147,Compuesta-Compleja,"Los bolcheviques se opusieron a la conferencia y no acudieron, proclamando una huelga en la ciudad."
6148,Simple,"Bankia agrupa a Caja Madrid, Bancaja, Caja de Canarias, Caja de Ávila, Caixa Laeitana, Caja Segovia y Caja Rioja."
6149,Simple,He quedado muy a disgusto con el trato.
6150,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Desde ese entonces Mark Henry fue incorporado como guardaespaldas de MNM.
6151,Compleja,"Si se inyecta de manera intravenosa, la acción comienza pasados 60 segundos."
6152,Compleja,"Para el beneficio directo a más de 300 mil alumnos de educación básica en Sonora, la SEC refuerza acciones de capacitación a docentes para generar espacios seguros, saludables y libres de violencia."
6153,Compleja,Uno de los principales problemas a los que debe enfrentarse un paciente ante una enfermedad rara es al conflicto entre los medicamentos huérfanos y la industria farmacéutica.
6154,Compleja,"Una vez coagulada, la masa se introduce en pequeños sacos de tela."
6155,Simple,La reinauguración de circuito se produjo el 29 de julio de 2003 con la visita del Turismo Carretera y la victoria de Omar Martínez.
6156,Compleja,"Al final, por pura pena, serás atendido, no sin antes ser recibido con una agria cara que cortaría hasta la leche de un cortado."
6157,Simple,Dos Trenhotel completan las conexiones entre Galicia y la meseta.
6158,Simple,Se encuentran en África: República del Congo.
6159,Simple,Hasta esa fecha estos territorios formaron parte del municipio Catatumbo.
6160,Compleja,"Por su parte, Ryanair se compromete a aumentar las frecuencias hasta 100 vuelos semanales en verano que llegan a 39 en invierno."
6161,Simple,"En diversos frentes, la empresa de la manzana ahora debe considerar a su contrincante desde una nueva óptica."
6162,Compleja,Los efectos de esta mejora varían según la naturaleza y la cantidad de la marga empleada y también la especie de terreno que la ha recibido.
6163,Simple,"A comienzos de los años 1970, Shanghái tenía una tasa de mortalidad infantil menor que Nueva York."
6164,Compleja,"Si bien Tito Livio comenta que hubo un asedio fallido sobre Spoletum, una colonia latina, Polibio no lo menciona, y es probable que sólo se tratase de algunos hostigadores separados del ejército principal."
6165,Simple,"Su debut en escena fue en el papel de Eliza, del musical ""My Fair Lady"", en el teatro de la ciudad de Wurzburgo."
6166,Compleja,"Calduch continuó cantando, ya casi siempre en catalán, hasta los 70 años de edad, momento en que su salud le impidió continuar."
6167,Compuesta-Compleja,"15/01/2011 | ""LA PREVISIBILIDAD AYUDARA A QUE EL VUELO TENGA UNA BUENA OCUPACION Y CON ESTO TAMBIEN LOGRAR UNA REGULARIDAD"", DIJO / La Secretaria de Turismo de la Municipalidad de Esquel, Lic. Florencia Aversa, destacó el anuncio realizado por el Secretario de Turismo de la Nación, Enrique Meyer, sobre la incorporación de un nuevo vuelo de Aerolíneas Argentinas para Esquel en invierno."
6168,Compleja,De esta forma Tupper participó activamente en sofocar las continuas sublevaciones del bando conservador y oligárquico como lo fue la sublevación militar de San Fernando en julio de 1828.
6169,Compleja,House se dispone a encontrar un paciente a punto de morir pero que padezca alguna afección que lo vuelva inelegible para el sistema oficial de trasplantes.
6170,Simple,En 1958 fue el escenario principal de los primeros Juegos Deportivos Universitarios Nacionales.
6171,Compleja,"Además, el Espanyol quiere cerrar ya el fichaje de Héctor Moreno, un defensa que juega de defensa central y de lateral."
6172,Compleja,Luchar por una reivindicación justa es otra de las propuestas que deseamos establecer.
6173,Compleja,"Su popularidad se hace enorme, aunque en sus comienzos nadie creyera en él (los empresarios que alquilaban las películas, al principio, no querían que su nombre apareciera en los carteles porque opinaban que al público no le gustaba) y Alberto Sordi empieza a rodar entre 8 y 10 películas cada año."
6174,Compleja,"Se abre luego por la margen continental un nuevo entrante, el Rudyerd Bay, que se interna describiendo varias curvas unos 24 km en el continente."
6175,Compleja,"Al poco tiempo fue recomendado por el locutor Guillermo Brizuela Méndez para incorporarse a la orquesta de Héctor Varela, donde permaneció hasta comienzos de 1956 cuando el pianista Carlos Di Sarli lo sumó a sus filas, aunque solo realizó tres grabaciones, ya que Varela requirió su retorno."
6176,Compleja,Marc - Joseph Marion du Fresne visitó la Tierra de Van Diemen en 1772 y fue el primero en encontrar aborígenes de Tasmania (que no habían sido vistos por Abel Tasman).
6177,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Con 33 años de vigencia formal sin apenas modificación, nuestra Constitución debería haber sido ya reformada en aspectos sustanciales, siempre mediante un consenso equiparable al de 1977-1978."
6178,Unimembre,Además de aves y colmenas.
6179,Compleja,"Su profesionalidad se sitúa en lo más alto, colocando a todos sus clientes sobre un pedestal."
6180,Simple,Está cubierta parcialmente (35 %) por la seguridad social.
6181,Compleja,Antes de que los murciélagos puedan volar la madre carga hasta cuatro crías a la vez.
6182,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Fue conocido por su papel del honesto y elegante jugador de la serie de aventuras de la CBS Mr. Lucky.
6183,Compuesta-Compleja,Puedes entrar dentro del recinto de juego y ver como disfrutan los niños sin restricciones a los mayores.
6184,Compleja,"Al crecer, él pasea por el bosque con su caballo Samson y escucha a una muchacha cantando."
6185,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Los pasillos están enmoquetados y tienen manchas, la entrada a la recepción da la sensación de una pensión más que de un hotel y detalles similares."
6186,Simple,"Para la ocasión, Valdés participó en la Primera Conferencia sobre Macroeconomía y Banca Central, junto a Martin Redrado, ex presidente del Banco Central de Argentina."
6187,Compuesta-Compleja,Acabo de descubrir esta maravilla del google maps y encontré este lugar que simplemente es parte de mi vida y me trae gratos y grandes momentos a la mente y al corazón.
6188,Compleja,"Jennifer Hawkins (n. 22 de diciembre de 1983) es una reina de belleza australiana, modelo y presentadora de televisión, mejor conocida por haber ganado el título de Miss Universo 2004 y más recientemente por ser la imagen de la tienda por departamento australiana Myer."
6189,Compuesta-Compleja,"Examinando una llave que encontraron en las habitaciones del Papa, comparan el ADN de la víctima con el que se obtuvo del Tornado cuando fue disparado, y los dos coinciden."
6190,Compleja,"Tras la última gira del grupo, en 1992, Ana decidió emprender su carrera como solista, para lo que buscó productores y compositores."
6191,Compleja,"Los cuatro personajes representados en retratos son un homenaje al fundador, al ideólogo y a su símbolo permanente, son como las columnas centrales que sostienen toda la estructura global de la propia Universidad."
6192,Simple,Su designación provisional era 1905 RB.
6193,Compleja,"Mark Bridge ha jugado para el equipo sub - 20 australiano, con el jugó nueve partidos en los que anotó la misma cantidad de goles."
6194,Simple,Estaba orientado al mercado de los procesadores de textos.
6195,Simple,"Y para eso elige dos caminos: el primero lo publicado en revistas, libros, etc. y el otro lo oído de la boca de nuestros ciudadanos."
6196,Compleja,"Ayer, el parlamento nicaragüense sesionó en la ciudad de San Carlos, capital de la provincia de Río San Juan, donde aprobó por unanimidad una declaración de apoyo al gobierno de Ortega, y la asignación de un presupuesto adicional para los trabajos de dragado y de combate al narcotráfico en la zona."
6197,Unimembre,"Juan Manuel Pérez de Guzmán y Silva (7 de enero de 1579-1636), XIII señor de Sanlúcar, XI conde de Niebla, VIII duque de Medina Sidonia y VI marqués de Cazaza."
6198,Simple,"En diciembre, Barcelona, Madrid y Bilbao disfrutarán los días 1, 2 y 3, respectivamente, del directo de los británicos The Horrors."
6199,Compuesta-Compleja,El padre de Marlén irónicamente era el mismo hombre quien había asesinado a los amigos de Tomás años atrás y había obligado a él y a su familia a huir del pueblo donde vivían.
6200,Simple,"Por ejemplo, se pueden vertir las hebras en agua o jerez durante aproximadamente diez minutos."
6201,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Por su situación alejada del puerto, no despertó interés a los cargadores a Indias, por lo que fue habitado por clases populares dependientes de la actividad pesquera de la playa de La Caleta."
6202,Compuesta,"En el campeonato de 1950, Racing Club obtuvo el bicampeonato y obtendría el primer tricampeonato del fútbol argentino al año siguiente."
6203,Compleja,"Su objetivo era separar uranio 235 por difusión termal, obviando métodos alternativos como separación electromagnética, Difusión gaseosa, y separación centrífuga."
6204,Compleja,"La banda capitaneada por Alex Turner comienza en nuestro país la gira europea de presentación de 'Suck It And See' que, ya falta de anunciar nuevas fechas, le seguirán tres citas en Francia."
6205,Compuesta-Compleja,"El plan de invasión de Grecia había sido preparado por el Estado Mayor italiano desde fines de 1939 y preveía una primera fase con una ofensiva en Albania para la conquista de Epiro, siguiendo por los valles del Viosa y Thiamis, con la toma de Métsobon y Drisko, para impedir a las tropas griegas de Tesalia y Macedonia que se unieran a las de Epiro."
6206,Compleja,"Su privilegiada situación, servicio altamente personalizado y cálida atmósfera, hacen del Gallery Hotel el enclave perfecto para celebrar estas jornadas."
6207,Compuesta-Compleja,Yo suelo ir cada 15 días para tener una velada con mi pareja y tomarnos un buen vino.
6208,Simple,"En este mismo año se comienza la producción de este vehículo, en la planta industrial en Chacras y Camino San Roque, ciudad de Córdoba."
6209,Unimembre,Autor representante del Racionalismo en la provincia de Cádiz.
6210,Compuesta-Compleja,Esto posibilitó que la elección del rector la realizaran los decanos de la institución (y ya no fuera visada por el gobierno de turno).
6211,Compuesta-Compleja,"La vía banalizada no sólo permite una explotación circulando tanto por la derecha como por la izquierda indistintamente, sino que también admite circulaciones en paralelo y adelantamientos en plena vía."
6212,Compleja,"Los Nuevos Vengadores es una serie de cómics de la editorial Marvel, publicada en España por Editorial Panini desde enero de 2006 y en México a cargo de Editorial Televisa."
6213,Simple,"Participó en varios Salones Nacionales, Municipales y del Interior del Uruguay."
6214,Compleja,"Los comienzos del artista Secall son de pintor surrealista, mostrando especial predilección por Joan Miró y su ideal artístico."
